
THE FULL IAU 2000A NUTATION SERIES DATA - 1365 TERMS

The i column is NOT part of the actual data.  It is the reference index number
of the nutation series terms to which the subsequent 20 data elements apply.

=====================================================================================================================================================
                      FUNDAMENTAL ARGUMENT MULTIPLIERS                         LONGITUDE COMPONENTS IN ARC SEC      OBLIQUITY COMPONENTS IN ARC SEC
i    m01  m02  m03  m04  m05  m06  m07  m08  m09  m10  m11  m12  m13  m14        AA           BB          CC          DD           EE          FF
692    0   -5    6    4    0    0    0    0    2    0    0    0    0    0     0.0000003   0.0         0.0          0.0         0.0         0.0
693    0    0    0    0    2   -5    0    0    2    0    0    0    0    0    -0.0000012   0.0         0.0          0.0         0.0         0.0
694    0    0    0    0    2   -5    0    0    1    0    0    0    0    0     0.0000014   0.0        -0.0000218    0.0000008   0.0         0.0000117
695    0    0   -1    0    2   -5    0    0    0    0    0    1   -1    1     0.0000031   0.0        -0.0000481   -0.0000017   0.0        -0.0000257
696    0    0    0    0    2   -5    0    0    0    0    0    0    0    0    -0.0000491   0.0         0.0000128    0.0         0.0         0.0
697    0    0   -1    0   -2    5    0    0    0    0    0    1   -1    1    -0.0003084   0.0         0.0005123    0.0001647   0.0         0.0002735
698    0    0    0    0   -2    5    0    0    1    0    0    0    0    0    -0.0001444   0.0         0.0002409   -0.0000771   0.0        -0.0001286
699    0    0    0    0   -2    5    0    0    2    0    0    0    0    0     0.0000011   0.0        -0.0000024   -0.0000009   0.0        -0.0000011
700    0    0    3   -7    0    0    0    0    0    2    0   -1   -1    0     0.0000026   0.0        -0.0000009    0.0         0.0         0.0
701    0   19  -21    3    0    0    0    0    0    1    0    0   -2    0     0.0000103   0.0        -0.0000060    0.0         0.0         0.0
702    0    2   -4    0   -3    0    0    0    0    0    0    1   -1    1     0.0         0.0        -0.0000013    0.0         0.0        -0.0000007
703    0    0   -1    0    2    0    0    0    0    1    0    0   -1    1    -0.0000026   0.0        -0.0000029    0.0000014   0.0        -0.0000016
704    0    0   -1    0   -4   10    0    0    0    0    0    1   -1    1     0.0000009   0.0        -0.0000027   -0.0000005   0.0        -0.0000014
705    0    0    2    0    0   -5    0    0    0   -2    0    0    2    1     0.0000012   0.0         0.0         -0.0000006   0.0         0.0
706    0    3   -7    4    0    0    0    0    0    0    0    0    0    0    -0.0000007   0.0         0.0          0.0         0.0         0.0
707    0    0    1    0    1   -1    0    0    0    0    0   -1    1    0     0.0         0.0         0.0000024    0.0         0.0         0.0
708    0    0    2    0   -2    0    0    0    0   -2    0    0    2    1     0.0000284   0.0         0.0         -0.0000151   0.0         0.0
709    0   18  -16    0    0    0    0    0    0   -1    0    0    0    0     0.0000226   0.0         0.0000101    0.0         0.0         0.0
710    0    0    1    0   -2    0    0    0    0   -2    0    1    1    2     0.0         0.0        -0.0000008    0.0         0.0        -0.0000002
711    0   18  -17    0    0    0    0    0    0   -1    0    1   -1    1     0.0         0.0        -0.0000006    0.0         0.0        -0.0000003
712    0    0    2   -2    0    0    0    0    0   -1    0    0    1    1     0.0000005   0.0         0.0         -0.0000003   0.0         0.0
713    0   -8   13    0    0    0    0    0    2    0    0    0    0    0    -0.0000041   0.0         0.0000175    0.0000017   0.0         0.0000076
714    0   -8   11    0    0    0    0    0    0    0    0    2   -2    2     0.0         0.0         0.0000015    0.0         0.0         0.0000006
715    0   -8   13    0    0    0    0    0    1    0    0    0    0    0     0.0000425   0.0         0.0000212    0.0000269   0.0        -0.0000133
716    0   -8   12    0    0    0    0    0    0    0    0    1   -1    1     0.0001200   0.0         0.0000598   -0.0000641   0.0         0.0000319
717    0    8  -13    0    0    0    0    0    0    0    0    0    0    0     0.0000235   0.0         0.0000334    0.0         0.0         0.0
718    0    8  -14    0    0    0    0    0    0    0    0    1   -1    1     0.0000011   0.0        -0.0000012   -0.0000006   0.0        -0.0000007
719    0    8  -13    0    0    0    0    0    1    0    0    0    0    0     0.0000005   0.0        -0.0000006    0.0000003   0.0         0.0000003
720    0    0    2    0   -4    5    0    0    0   -2    0    0    2    1    -0.0000005   0.0         0.0          0.0000003   0.0         0.0
721    0    3   -3    0    0    0    0    0    0   -2    0    0    2    2     0.0000006   0.0         0.0         -0.0000003   0.0         0.0
722    0    0    2    0   -3    1    0    0    0   -2    0    0    2    0     0.0000015   0.0         0.0          0.0         0.0         0.0
723    0    3   -5    0    2    0    0    0    0    0    0    0    0    1     0.0000013   0.0         0.0         -0.0000007   0.0         0.0
724    0    0    2    0   -4    3    0    0    0   -2    0    0    2    0    -0.0000006   0.0        -0.0000009    0.0         0.0         0.0
725    0    0    0    2    0    0    0    0    0    0    0   -1    1    0     0.0000266   0.0        -0.0000078    0.0         0.0         0.0
726    0    0   -1    2    0    0    0    0    0    0    0    0    0    1    -0.0000460   0.0        -0.0000435    0.0000246   0.0        -0.0000232
727    0    0   -2    2    0    0    0    0    0    0    0    1   -1    2     0.0         0.0         0.0000015    0.0         0.0         0.0000007
728    0    3   -5    0    0    0    0    0    0   -1    0    1    0    1    -0.0000003   0.0         0.0          0.0000002   0.0         0.0
729    0    3   -4    0    0    0    0    0    0   -1    0    0    1    0     0.0         0.0         0.0000131    0.0         0.0         0.0
730    0    0    2    0   -2   -2    0    0    0   -2    0    0    2    0     0.0000004   0.0         0.0          0.0         0.0         0.0
731    0    0   -5    9    0    0    0    0    0   -2    0    2    0    2     0.0         0.0         0.0000003    0.0         0.0         0.0
732    0    0   -1    0    0    0   -1    0    0    0    0    1   -1    1     0.0         0.0         0.0000004    0.0         0.0         0.0000002
733    0    0    0    0    0    0    1    0    0    0    0    0    0    0     0.0         0.0         0.0000003    0.0         0.0         0.0
734    0    0   -1    0    0    0    0    2    0    0    0    1   -1    1    -0.0000017   0.0        -0.0000019    0.0000009   0.0        -0.0000010
735    0    0    0    0    0    0    0    2    1    0    0    0    0    0    -0.0000009   0.0        -0.0000011   -0.0000005   0.0         0.0000006
736    0    0    0    0    0    0    0    2    2    0    0    0    0    0    -0.0000006   0.0         0.0          0.0000003   0.0         0.0
737    0    0    3   -4    0    0    0    0    0   -1    0    0    1    0    -0.0000016   0.0         0.0000008    0.0         0.0         0.0
738    0    0    1    0    0    2    0    0    0    0    0   -1    1    0     0.0         0.0         0.0000003    0.0         0.0         0.0
739    0    0   -1    0    0    2    0    0    0    0    0    1   -1    2     0.0000011   0.0         0.0000024   -0.0000005   0.0         0.0000011
740    0    0   -9   17    0    0    0    0    0    0    0    0    0    1    -0.0000003   0.0        -0.0000004    0.0000001   0.0        -0.0000002
741    0   -3    5    0    0    0    0    0    0    0    0    0    0    2     0.0000003   0.0         0.0         -0.0000001   0.0         0.0
742    0    0   -1    0   -1    2    0    0    0    0    0    1   -1    1     0.0         0.0        -0.0000008    0.0         0.0        -0.0000004
743    0    0    0    0    1   -2    0    0    0    0    0    0    0    0     0.0         0.0         0.0000003    0.0         0.0         0.0
744    0   17  -16    0   -2    0    0    0    0    1    0    0   -2    0     0.0         0.0         0.0000005    0.0         0.0         0.0
745    0    0   -1    0    1   -3    0    0    0    0    0    1   -1    1     0.0         0.0         0.0000003    0.0         0.0         0.0000002
746    0    0    5   -6    0    0    0    0    0   -2    0    0    2    1    -0.0000006   0.0         0.0000004    0.0000003   0.0         0.0000002
747    0    0    9  -13    0    0    0    0    0    0    0   -2    2    0    -0.0000003   0.0        -0.0000005    0.0         0.0         0.0
748    0    0   -1    0    0    1    0    0    0    0    0    1   -1    2    -0.0000005   0.0         0.0          0.0000002   0.0         0.0
749    0    0    0    0    0    1    0    0    0    0    0    0    0    1     0.0000004   0.0         0.0000024   -0.0000002   0.0         0.0000013
750    0    0    1    0    0    1    0    0    0    0    0   -1    1    0    -0.0000042   0.0         0.0000020    0.0         0.0         0.0
751    0    5   -6    0    0    0    0    0    0    0    0   -2    2    0    -0.0000010   0.0         0.0000233    0.0         0.0         0.0
752    0    5   -7    0    0    0    0    0    0    0    0   -1    1    1    -0.0000003   0.0         0.0          0.0000001   0.0         0.0
753    0    6   -8    0    0    0    0    0    0   -2    0    0    2    0     0.0000078   0.0        -0.0000018    0.0         0.0         0.0
754    0   -6    7    0    0    0    0    0    0    2    0    1   -3    1     0.0         0.0         0.0000003    0.0         0.0         0.0000001
755    0    0    0    0    1    0    0    0    0    0    0    0    0    2     0.0         0.0        -0.0000003    0.0         0.0        -0.0000001
756    0    0    1    0    1    0    0    0    0    0    0   -1    1    1     0.0         0.0        -0.0000004    0.0000001   0.0        -0.0000002
757    0    0   -1    0    0    0    2    0    0    0    0    1   -1    1     0.0         0.0        -0.0000008   -0.0000001   0.0        -0.0000004
758    0    0    0    0    0    0    2    0    1    0    0    0    0    0     0.0         0.0        -0.0000005    0.0         0.0         0.0000003
759    0    0    0    0    0    0    2    0    2    0    0    0    0    0    -0.0000007   0.0         0.0          0.0000003   0.0         0.0
760    0    0   -8   15    0    0    0    0    2    0    0    0    0    0    -0.0000014   0.0         0.0000008    0.0000006   0.0         0.0000003
761    0    0   -8   15    0    0    0    0    1    0    0    0    0    0     0.0         0.0         0.0000008    0.0         0.0        -0.0000004
762    0    0   -9   15    0    0    0    0    0    0    0    1   -1    1     0.0         0.0         0.0000019    0.0         0.0         0.0000010
763    0    0    8  -15    0    0    0    0    0    0    0    0    0    0     0.0000045   0.0        -0.0000022    0.0         0.0         0.0
764    0    0    8  -15    0    0    0    0    0    1    0   -1   -1    0    -0.0000003   0.0         0.0          0.0         0.0         0.0
765    0    2   -5    0    0    0    0    0    0    2    0    0   -2    0     0.0         0.0        -0.0000003    0.0         0.0         0.0
766    0    0    2    0   -5    5    0    0    0   -2    0    0    2    0     0.0         0.0         0.0000003    0.0         0.0         0.0
767    0    0   -6    8    0    0    0    0    0    2    0    0   -2    1     0.0000003   0.0         0.0000005   -0.0000002   0.0         0.0000003
768    0    0   -2    0    3    0    0    0    0    2    0    0   -2    1     0.0000089   0.0        -0.0000016   -0.0000048   0.0        -0.0000009
769    0    0    1    0   -3    0    0    0    0   -2    0    1    1    0     0.0         0.0         0.0000003    0.0         0.0         0.0
770    0    0    1    0   -3    0    0    0    0   -2    0    1    1    1    -0.0000003   0.0         0.0000007    0.0000002   0.0         0.0000004
771    0    0    2    0   -3    0    0    0    0   -2    0    0    2    0    -0.0000349   0.0        -0.0000062    0.0         0.0         0.0
772    0    0    6   -8    0    0    0    0    0   -2    0    0    2    0    -0.0000015   0.0         0.0000022    0.0         0.0         0.0
773    0    0    2    0   -1   -5    0    0    0   -2    0    0    2    0    -0.0000003   0.0         0.0          0.0         0.0         0.0
774    0    0    1    0   -1    0    0    0    0   -1    0    0    1    0    -0.0000053   0.0         0.0          0.0         0.0         0.0
775    0  -20   20    0    0    0    0    0    0   -1    0    1    1    1     0.0000005   0.0         0.0         -0.0000003   0.0         0.0
776    0   20  -21    0    0    0    0    0    0    1    0    0   -2    0     0.0         0.0        -0.0000008    0.0         0.0         0.0
777    0    0    8  -15    0    0    0    0    0    0    0    0    0    1     0.0000015   0.0        -0.0000007   -0.0000008   0.0        -0.0000004
778    0    0  -10   15    0    0    0    0    0    0    0    2   -2    1    -0.0000003   0.0         0.0          0.0000001   0.0         0.0
779    0    0    1    0    1    0    0    0    0    0    0   -1    1    0    -0.0000021   0.0        -0.0000078    0.0         0.0         0.0
780    0    0    0    0    1    0    0    0    0    0    0    0    0    1     0.0000020   0.0        -0.0000070   -0.0000011   0.0        -0.0000037
781    0    0   -1    0    1    0    0    0    0    0    0    1   -1    2     0.0         0.0         0.0000006    0.0         0.0         0.0000003
782    0    0   -1    0   -2    4    0    0    0    0    0    1   -1    1     0.0000005   0.0         0.0000003   -0.0000002   0.0         0.0000002
783    0   -6    8    0    0    0    0    0    0    2    0    0   -2    1    -0.0000017   0.0        -0.0000004    0.0000009   0.0        -0.0000002
784    0    5   -6    0    0    0    0    0    0    0    0   -2    2    1     0.0         0.0         0.0000006    0.0         0.0         0.0000003
785    0    0    0    0    0   -1    0    0    1    0    0    0    0    0     0.0000032   0.0         0.0000015    0.0000017   0.0        -0.0000008
786    0    0   -1    0    0   -1    0    0    0    0    0    1   -1    1     0.0000174   0.0         0.0000084   -0.0000093   0.0         0.0000045
787    0    0    0    0    0    1    0    0    0    0    0    0    0    0     0.0000011   0.0         0.0000056    0.0         0.0         0.0
788    0    0   -1    0    0    1    0    0    0    0    0    1   -1    1    -0.0000066   0.0        -0.0000012    0.0000035   0.0        -0.0000006
789    0    0    0    0    0    1    0    0    1    0    0    0    0    0     0.0000047   0.0         0.0000008   -0.0000025   0.0         0.0000004
790    0    0    0    0    0    1    0    0    2    0    0    0    0    0     0.0         0.0         0.0000008    0.0         0.0         0.0000004
791    0    0   -9   13    0    0    0    0    0    0    0    2   -2    1     0.0000010   0.0        -0.0000022   -0.0000005   0.0        -0.0000012
792    0    0    7  -13    0    0    0    0    0    0    0    0    0    1    -0.0000003   0.0         0.0          0.0000002   0.0         0.0
793    0    0    5   -6    0    0    0    0    0   -2    0    0    2    0    -0.0000024   0.0         0.0000012    0.0         0.0         0.0
794    0    0    9  -17    0    0    0    0    0    0    0    0    0    0     0.0000005   0.0        -0.0000006    0.0         0.0         0.0
795    0    0   -9   17    0    0    0    0    2    0    0    0    0    0     0.0000003   0.0         0.0         -0.0000002   0.0         0.0
796    0    0   -3    4    0    0    0    0    0    1    0    0   -1    1     0.0000004   0.0         0.0000003   -0.0000002   0.0         0.0000001
797    0   -3    4    0    0    0    0    0    0    1    0    0   -1    1     0.0         0.0         0.0000029    0.0         0.0         0.0000015
798    0    0   -1    2    0    0    0    0    0    0    0    0    0    2    -0.0000005   0.0        -0.0000004    0.0000002   0.0        -0.0000002
799    0    0    0    2    0    0    0    0    0    0    0   -1    1    1     0.0000008   0.0        -0.0000003   -0.0000005   0.0        -0.0000001
800    1    0   -2    0    0    0    0    0    0    0    0   -2    2    0     0.0         0.0        -0.0000003    0.0         0.0         0.0
801    0    3   -5    0    2    0    0    0    0    0    0    0    0    0     0.0000010   0.0         0.0          0.0         0.0         0.0
802    0    0    2    0   -3    1    0    0    0   -2    0    0    2    1     0.0000003   0.0         0.0         -0.0000002   0.0         0.0
803    0    3   -3    0    0    0    0    0    0   -2    0    0    2    1    -0.0000005   0.0         0.0          0.0000003   0.0         0.0
804    0    8  -13    0    0    0    0    0    0    0    0    0    0    1     0.0000046   0.0         0.0000066   -0.0000025   0.0         0.0000035
805    0    8  -12    0    0    0    0    0    0    0    0   -1    1    0    -0.0000014   0.0         0.0000007    0.0         0.0         0.0
806    0   -8   11    0    0    0    0    0    0    0    0    2   -2    1     0.0         0.0         0.0000003    0.0         0.0         0.0000002
807    0    0    2   -2    0    0    0    0    0   -1    0    0    1    0    -0.0000005   0.0         0.0          0.0         0.0         0.0
808    0   18  -16    0    0    0    0    0    0   -1    0    0    0    1    -0.0000068   0.0        -0.0000034    0.0000036   0.0        -0.0000018
809    0    0   -1    0   -1    1    0    0    0    0    0    1   -1    1     0.0         0.0         0.0000014    0.0         0.0         0.0000007
810    0    3   -7    4    0    0    0    0    0    0    0    0    0    1     0.0000010   0.0        -0.0000006   -0.0000005   0.0        -0.0000003
811    0    0   -3    7    0    0    0    0    0   -2    0    1    1    1    -0.0000005   0.0        -0.0000004    0.0000003   0.0        -0.0000002
812    0    0   -1    0   -2    5    0    0    0    0    0    1   -1    2    -0.0000003   0.0         0.0000005    0.0000001   0.0         0.0000002
813    0    0    0    0   -2    5    0    0    0    0    0    0    0    1     0.0000076   0.0         0.0000017   -0.0000041   0.0         0.0000009
814    0    0   -4    8   -3    0    0    0    0    0    0    0    0    1     0.0000084   0.0         0.0000298   -0.0000045   0.0         0.0000159
815    0  -10    3    0    0    0    0    0    0    1    0    0    0    1     0.0000003   0.0         0.0         -0.0000001   0.0         0.0
816    0    0   -2    0    0    0    0    0    0    0    0    2   -2    1    -0.0000003   0.0         0.0          0.0000002   0.0         0.0
817    0   10   -3    0    0    0    0    0    0   -1    0    0    0    1    -0.0000003   0.0         0.0          0.0000001   0.0         0.0
818    0    0    4   -8    3    0    0    0    0    0    0    0    0    1    -0.0000082   0.0         0.0000292    0.0000044   0.0         0.0000156
819    0    0    0    0    2   -5    0    0    0    0    0    0    0    1    -0.0000073   0.0         0.0000017    0.0000039   0.0         0.0000009
820    0    0    1    0    2   -5    0    0    0    0    0   -1    1    0    -0.0000009   0.0        -0.0000016    0.0         0.0         0.0
821    0    0    3   -7    0    0    0    0    0    2    0   -1   -1    1     0.0000003   0.0         0.0         -0.0000002   0.0        -0.0000001
822    0    0    2    0    0   -5    0    0    0   -2    0    0    2    0    -0.0000003   0.0         0.0          0.0         0.0         0.0
823    0   -3    7   -4    0    0    0    0    0    0    0    0    0    1    -0.0000009   0.0        -0.0000005    0.0000005   0.0        -0.0000003
824    0    0    2    0   -2    0    0    0    0   -2    0    0    2    0    -0.0000439   0.0         0.0          0.0         0.0         0.0
825    0  -18   16    0    0    0    0    0    0    1    0    0    0    1     0.0000057   0.0        -0.0000028   -0.0000030   0.0        -0.0000015
826    0    0    1    0   -2    0    0    0    0   -2    0    1    1    1     0.0         0.0        -0.0000006    0.0         0.0        -0.0000003
827    0   -8   12    0    0    0    0    0    0    0    0    1   -1    2    -0.0000004   0.0         0.0          0.0000002   0.0         0.0
828    0   -8   13    0    0    0    0    0    0    0    0    0    0    1    -0.0000040   0.0         0.0000057    0.0000021   0.0         0.0000030
829    0    0    1   -2    0    0    0    0    1    0    0    0    0    0     0.0000023   0.0         0.0000007   -0.0000013   0.0         0.0000003
830    0    0    0   -2    0    0    0    0    0    0    0    1   -1    1     0.0000273   0.0         0.0000080   -0.0000146   0.0         0.0000043
831    0    0    1   -2    0    0    0    0    0    0    0    0    0    0    -0.0000449   0.0         0.0000430    0.0         0.0         0.0
832    0    0   -2    2    0    0    0    0    0    0    0    1   -1    1    -0.0000008   0.0        -0.0000047    0.0000004   0.0        -0.0000025
833    0    0   -1    2    0    0    0    0    1    0    0    0    0    0     0.0000006   0.0         0.0000047   -0.0000003   0.0         0.0000025
834    0    3   -4    0    0    0    0    0    0   -1    0    0    1    1     0.0         0.0         0.0000023    0.0         0.0         0.0000013
835    0    0    3   -4    0    0    0    0    0   -1    0    0    1    1    -0.0000003   0.0         0.0          0.0000002   0.0         0.0
836    0    0   -1    0    0   -2    0    0    0    0    0    1   -1    1     0.0000003   0.0        -0.0000004   -0.0000002   0.0        -0.0000002
837    0    0   -1    0    0    2    0    0    0    0    0    1   -1    1    -0.0000048   0.0        -0.0000110    0.0000026   0.0        -0.0000059
838    0    0    0    0    0    2    0    0    1    0    0    0    0    0     0.0000051   0.0         0.0000114   -0.0000027   0.0         0.0000061
839    0    0    0    0    0    2    0    0    2    0    0    0    0    0    -0.0000133   0.0         0.0          0.0000057   0.0         0.0
840    0    3   -6    0    0    0    0    0    0    0    0    1   -1    0     0.0         0.0         0.0000004    0.0         0.0         0.0
841    0   -3    5    0    0    0    0    0    0    0    0    0    0    1    -0.0000021   0.0        -0.0000006    0.0000011   0.0        -0.0000003
842    0   -3    4    0    0    0    0    0    0    0    0    1   -1    2     0.0         0.0        -0.0000003    0.0         0.0        -0.0000001
843    0    0   -2    4    0    0    0    0    0    0    0    0    0    1    -0.0000011   0.0        -0.0000021    0.0000006   0.0        -0.0000011
844    0   -5    6    0    0    0    0    0    0    0    0    2   -2    1    -0.0000018   0.0        -0.0000436    0.0000009   0.0        -0.0000233
845    0    5   -7    0    0    0    0    0    0    0    0   -1    1    0     0.0000035   0.0        -0.0000007    0.0         0.0         0.0
846    0    5   -8    0    0    0    0    0    0    0    0    0    0    1     0.0         0.0         0.0000005    0.0         0.0         0.0000003
847    0    6   -8    0    0    0    0    0    0   -2    0    0    2    1     0.0000011   0.0        -0.0000003   -0.0000006   0.0        -0.0000001
848    0    0   -8   15    0    0    0    0    0    0    0    0    0    1    -0.0000005   0.0        -0.0000003    0.0000003   0.0        -0.0000001
849    0    0    2    0   -3    0    0    0    0   -2    0    0    2    1    -0.0000053   0.0        -0.0000009    0.0000028   0.0        -0.0000005
850    0    0    6   -8    0    0    0    0    0   -2    0    0    2    1     0.0         0.0         0.0000003    0.0000001   0.0         0.0000002
851    0    0   -1    0    1    0    0    0    0    1    0    0   -1    1     0.0000004   0.0         0.0         -0.0000002   0.0         0.0
852    0    0    0    0    3   -5    0    0    0    0    0    0    0    0     0.0         0.0        -0.0000004    0.0         0.0         0.0
853    0    0   -1    0   -1    0    0    0    0    0    0    1   -1    1    -0.0000050   0.0         0.0000194    0.0000027   0.0         0.0000103
854    0    0    0    0   -1    0    0    0    1    0    0    0    0    0    -0.0000013   0.0         0.0000052    0.0000007   0.0         0.0000028
855    0    0    0    0    1    0    0    0    0    0    0    0    0    0    -0.0000091   0.0         0.0000248    0.0         0.0         0.0
856    0    0    0    0    1    0    0    0    1    0    0    0    0    0     0.0000006   0.0         0.0000049   -0.0000003   0.0         0.0000026
857    0    0   -1    0    1    0    0    0    0    0    0    1   -1    1    -0.0000006   0.0        -0.0000047    0.0000003   0.0        -0.0000025
858    0    0    0    0    1    0    0    0    1    0    0    0    0    0     0.0         0.0         0.0000005    0.0         0.0         0.0000003
859    0    0    0    0    1    0    0    0    2    0    0    0    0    0     0.0000052   0.0         0.0000023   -0.0000023   0.0         0.0000010
860    0    0   -1    0    0   -1    0    0    0    0    0    1   -1    2    -0.0000003   0.0         0.0          0.0000001   0.0         0.0
861    0    0    0    0    0   -1    0    0    0    0    0    0    0    1     0.0         0.0         0.0000005    0.0         0.0         0.0000003
862    0    0    1    0    0   -1    0    0    0    0    0   -1    1    0    -0.0000004   0.0         0.0          0.0         0.0         0.0
863    0    0   -7   13    0    0    0    0    2    0    0    0    0    0    -0.0000004   0.0         0.0000008    0.0000002   0.0         0.0000003
864    0    0    7  -13    0    0    0    0    0    0    0    0    0    0     0.0000010   0.0         0.0          0.0         0.0         0.0
865    0    0   -5    6    0    0    0    0    0    2    0    0   -2    1     0.0000003   0.0         0.0         -0.0000002   0.0         0.0
866    0    0   -8   11    0    0    0    0    0    0    0    2   -2    1     0.0         0.0         0.0000008    0.0         0.0         0.0000004
867   -1    0    2    0    0    0    0    0    0    0    0    2   -2    1     0.0         0.0         0.0000008    0.0000001   0.0         0.0000004
868    0    0    4   -4    0    0    0    0    0   -2    0    0    2    0    -0.0000004   0.0         0.0          0.0         0.0         0.0
869    0    0    0    0    2   -2    0    0    0    0    0    0    0    0    -0.0000004   0.0         0.0          0.0         0.0         0.0
870    0    0   -1    0    0    3    0    0    0    0    0    1   -1    1    -0.0000008   0.0         0.0000004    0.0000004   0.0         0.0000002
871    0    0    0    0    0    3    0    0    1    0    0    0    0    0     0.0000008   0.0        -0.0000004   -0.0000004   0.0        -0.0000002
872    0    0    0    0    0    3    0    0    2    0    0    0    0    0     0.0         0.0         0.0000015    0.0         0.0         0.0000007
873    0    3   -3    0    0    0    0    0    0   -2    0    0    2    0    -0.0000138   0.0         0.0          0.0         0.0         0.0
874    0    0   -4    8   -3    0    0    0    0    0    0    0    0    2     0.0         0.0        -0.0000007    0.0         0.0        -0.0000003
875    0    0    4   -8    3    0    0    0    0    0    0    0    0    2     0.0         0.0        -0.0000007    0.0         0.0        -0.0000003
876    0    0   -2    0    2    0    0    0    0    2    0    0   -2    1     0.0000054   0.0         0.0         -0.0000029   0.0         0.0
877    0    0   -1    0    2    0    0    0    0    0    0    1   -1    2     0.0         0.0         0.0000010    0.0         0.0         0.0000004
878    0    0    0   -2    0    0    0    0    0    0    0    1   -1    2    -0.0000007   0.0         0.0          0.0000003   0.0         0.0
879    0    0    1   -2    0    0    0    0    0    0    0    0    0    1    -0.0000037   0.0         0.0000035    0.0000020   0.0         0.0000019
880    0    0    2   -2    0    0    0    0    0    0    0   -1    1    0     0.0         0.0         0.0000004    0.0         0.0         0.0
881    0    0    1    0    0   -2    0    0    0    0    0   -1    1    0    -0.0000004   0.0         0.0000009    0.0         0.0         0.0
882    0    0   -2    0    0    2    0    0    0    0    0    2   -2    1     0.0000008   0.0         0.0         -0.0000004   0.0         0.0
883    0    3   -6    0    0    0    0    0    0    0    0    1   -1    1    -0.0000009   0.0        -0.0000014    0.0000005   0.0        -0.0000008
884    0    3   -5    0    0    0    0    0    1    0    0    0    0    0    -0.0000003   0.0        -0.0000009    0.0000003   0.0        -0.0000005
885    0    3   -5    0    0    0    0    0    0    0    0    0    0    0    -0.0000145   0.0         0.0000047    0.0         0.0         0.0
886    0   -3    4    0    0    0    0    0    0    0    0    1   -1    1    -0.0000010   0.0         0.0000040    0.0000005   0.0         0.0000021
887    0   -3    5    0    0    0    0    0    1    0    0    0    0    0     0.0000011   0.0        -0.0000049   -0.0000007   0.0        -0.0000026
888    0   -3    5    0    0    0    0    0    2    0    0    0    0    0    -0.0002150   0.0         0.0          0.0000932   0.0         0.0
889    0   -3    3    0    0    0    0    0    0    0    0    2   -2    2    -0.0000012   0.0         0.0          0.0000005   0.0         0.0
890    0   -3    5    0    0    0    0    0    2    0    0    0    0    0     0.0000085   0.0         0.0         -0.0000037   0.0         0.0
891    0    0    2   -4    0    0    0    0    1    0    0    0    0    0     0.0000004   0.0         0.0         -0.0000002   0.0         0.0
892    0    0    1   -4    0    0    0    0    0    0    0    1   -1    1     0.0000003   0.0         0.0         -0.0000002   0.0         0.0
893    0    0    2   -4    0    0    0    0    0    0    0    0    0    0    -0.0000086   0.0         0.0000153    0.0         0.0         0.0
894    0    0   -2    4    0    0    0    0    1    0    0    0    0    0    -0.0000006   0.0         0.0000009    0.0000003   0.0         0.0000005
895    0    0   -3    4    0    0    0    0    0    0    0    1   -1    1     0.0000009   0.0        -0.0000013   -0.0000005   0.0        -0.0000007
896    0    0   -2    4    0    0    0    0    1    0    0    0    0    0    -0.0000008   0.0         0.0000012    0.0000004   0.0         0.0000006
897    0    0   -2    4    0    0    0    0    2    0    0    0    0    0    -0.0000051   0.0         0.0          0.0000022   0.0         0.0
898    0   -5    8    0    0    0    0    0    2    0    0    0    0    0    -0.0000011   0.0        -0.0000268    0.0000005   0.0        -0.0000116
899    0   -5    6    0    0    0    0    0    0    0    0    2   -2    2     0.0         0.0         0.0000012    0.0         0.0         0.0000005
900    0   -5    8    0    0    0    0    0    2    0    0    0    0    0     0.0         0.0         0.0000007    0.0         0.0         0.0000003
901    0   -5    8    0    0    0    0    0    1    0    0    0    0    0     0.0000031   0.0         0.0000006   -0.0000017   0.0         0.0000003
902    0   -5    7    0    0    0    0    0    0    0    0    1   -1    1     0.0000140   0.0         0.0000027   -0.0000075   0.0         0.0000014
903    0   -5    8    0    0    0    0    0    1    0    0    0    0    0     0.0000057   0.0         0.0000011   -0.0000030   0.0         0.0000006
904    0    5   -8    0    0    0    0    0    0    0    0    0    0    0    -0.0000014   0.0        -0.0000039    0.0         0.0         0.0
905    0    0   -1    0   -1    0    0    0    0    0    0    1   -1    2     0.0         0.0        -0.0000006    0.0         0.0        -0.0000002
906    0    0    0    0   -1    0    0    0    0    0    0    0    0    1     0.0000004   0.0         0.0000015   -0.0000002   0.0         0.0000008
907    0    0    1    0   -1    0    0    0    0    0    0   -1    1    0     0.0         0.0         0.0000004    0.0         0.0         0.0
908    0    0   -2    0    1    0    0    0    0    0    0    2   -2    1    -0.0000003   0.0         0.0          0.0000001   0.0         0.0
909    0    0   -6   11    0    0    0    0    2    0    0    0    0    0     0.0         0.0         0.0000011    0.0         0.0         0.0000005
910    0    0    6  -11    0    0    0    0    0    0    0    0    0    0     0.0000009   0.0         0.0000006    0.0         0.0         0.0
911   -1    0    4    0    0    0    0    0    2    0    0    0    0    0    -0.0000004   0.0         0.0000010    0.0000002   0.0         0.0000004
912    1    0   -4    0    0    0    0    0    0    0    0    0    0    0     0.0000005   0.0         0.0000003    0.0         0.0         0.0
